Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 1 13  13  22.00   3.00   1.60                     
 1 13  13  23.00   2.90   1.60                     
 1 13  13   0.00   2.60   1.60                     
 1 13  13   1.00   2.20   1.60                     
 1 13  13   2.00   2.30   1.70                     
 1 13  13   3.00   2.30   1.60                     
 1 13  13   4.00   2.10   1.60                     
 1 13  13   5.00   3.10   1.50   1.50              
 1 13  13   6.00   4.80   2.40                     
 1 13  13   7.00   5.50   2.40                     
 1 13  13   8.00   5.20   2.60                     
 1 13  13   9.00   4.80   2.60   2.30              
 1 13  13  10.00   5.20   2.70   2.30              
 1 13  13  11.00   5.30   2.30   2.05              
 1 13  13  12.00   5.00   1.80   1.75              
 1 13  13  13.00   3.20   2.90                     
 1 13  13  14.00   2.60   1.50                     
 1 13  13  15.00   2.20   1.60                     
 1 13  13  16.00   2.40   1.70                     
 1 13  13  17.00   2.70   1.60                     
 1 13  13  18.00   2.70   1.70                     
 1 13  13  19.00   2.40   1.60                     
 1 13  13  20.00   2.50   2.20                     
 1 13  13  21.00   2.80   1.60                     
