Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 2 16  47  22.00   3.10   1.50                     
 2 16  47  23.00   3.00   1.50                     
 2 16  47   0.00   2.90   1.50                     
 2 16  47   1.00   2.80   1.50                     
 2 16  47   2.00   2.20   1.50                     
 2 16  47   3.00   1.70                            
 2 16  47   4.00   3.40   1.50                     
 2 16  47   5.00   4.50   2.10                     
 2 16  47   6.00   5.80          2.80              
 2 16  47   7.00   5.80   2.40   3.00              
 2 16  47   8.00   6.30   1.60   3.10              
 2 16  47   9.00   6.10   2.00   3.20              
 2 16  47  10.00   6.40   1.80   3.10              
 2 16  47  11.00   6.20   2.00   2.90              
 2 16  47  12.00   5.90   2.20   2.50              
 2 16  47  13.00   4.80   1.80   2.10              
 2 16  47  14.00   4.30   1.50   1.60              
 2 16  47  15.00   3.80   1.50                     
 2 16  47  16.00   3.50   1.50                     
 2 16  47  17.00   3.00   1.50                     
 2 16  47  18.00   2.90   1.50                     
 2 16  47  19.00   3.00   1.50                     
 2 16  47  20.00   3.20   1.50                     
 2 16  47  21.00   2.50   1.50                     
