Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 27 361  22.00   2.80  41.00                     
12 27 361  23.00   2.70  35.00                     
12 27 361   0.00   2.30  17.00                     
12 27 361   1.00   2.20  16.00                     
12 27 361   2.00   2.50  16.00                     
12 27 361   3.00   1.90  16.00                     
12 27 361   4.00   2.00  16.00                     
12 27 361   5.00   3.60  15.00  150.00              
12 27 361   6.00   5.10  27.00                     
12 27 361   7.00   5.10  32.00  225.00              
12 27 361   8.00   5.80  23.00  230.00              
12 27 361   9.00   5.90  29.00  290.00              
12 27 361  10.00   5.20  22.00  225.00              
12 27 361  11.00   4.90  23.00  210.00              
12 27 361  12.00   3.70  17.00  150.00              
12 27 361  13.00   3.50  15.00                     
12 27 361  14.00   2.80  15.00                     
12 27 361  15.00   2.30  17.00                     
12 27 361  16.00   1.90  15.00                     
12 27 361  17.00   1.80  16.00                     
12 27 361  18.00   2.20  17.00                     
12 27 361  19.00   2.50  14.00                     
12 27 361  20.00   2.40  17.00                     
12 27 361  21.00   2.50  15.00                     
