Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 25 359  22.00   3.50  15.00                     
12 25 359  23.00   3.30  15.00                     
12 25 359   0.00   2.90  15.00                     
12 25 359   1.00   2.90  13.00                     
12 25 359   2.00   2.60  16.00                     
12 25 359   3.00   2.10  15.00                     
12 25 359   4.00   2.30  15.00                     
12 25 359   5.00   4.00  16.00  160.00              
12 25 359   6.00   5.00  20.00  170.00              
12 25 359   7.00   5.80  20.00  205.00              
12 25 359   8.00   5.50  22.00                     
12 25 359   9.00   6.00  25.00  250.00              
12 25 359  10.00   5.90  22.00  220.00              
12 25 359  11.00   4.80  19.00  185.00              
12 25 359  12.00   3.90  17.00  170.00              
12 25 359  13.00   4.00  15.00                     
12 25 359  14.00   3.60  16.00                     
12 25 359  15.00   2.40  15.00                     
12 25 359  16.00   2.50  15.00                     
12 25 359  17.00   2.40  15.00                     
12 25 359  18.00   2.30  16.00                     
12 25 359  19.00   2.40  15.00                     
12 25 359  20.00   2.80  15.00                     
12 25 359  21.00   3.30  15.00                     
