Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 11 345  22.00   2.80  18.00                     
12 11 345  23.00   2.90  15.00                     
12 11 345   0.00   2.50  15.00                     
12 11 345   1.00   2.60  15.00                     
12 11 345   2.00   2.40  18.00                     
12 11 345   3.00   2.40  15.00                     
12 11 345   4.00   2.40  15.00                     
12 11 345   5.00   4.30  21.00                     
12 11 345   6.00   5.00  18.00  175.00              
12 11 345   7.00   5.20  20.00                     
12 11 345   8.00   5.60  23.00                     
12 11 345   9.00   6.00  22.00                     
12 11 345  10.00   5.60  24.00  210.00              
12 11 345  11.00   5.40  21.00  185.00              
12 11 345  12.00   4.90  15.00  150.00              
12 11 345  13.00   5.30  28.00                     
12 11 345  14.00   3.50  37.00                     
12 11 345  15.00   2.30  15.00                     
12 11 345  16.00   2.40  15.00                     
12 11 345  17.00   2.20  15.00                     
12 11 345  18.00   2.30  15.00                     
12 11 345  19.00   2.50  15.00                     
12 11 345  20.00   2.50  17.00                     
12 11 345  21.00   2.70  15.00                     
