Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 31 365  22.00   3.30  15.00                     
12 31 365  23.00   3.20  15.00                     
12 31 365   0.00   2.50  15.00                     
12 31 365   1.00   2.10  16.00                     
12 31 365   2.00   1.80                            
12 31 365   3.00   1.70                            
12 31 365   4.00   1.90  17.00                     
12 31 365   5.00   3.90  16.00  160.00              
12 31 365   6.00   5.50  20.00  200.00              
12 31 365   7.00   5.90  21.00  210.00              
12 31 365   8.00   6.00  22.00  215.00              
12 31 365   9.00   7.90  22.00  215.00              
12 31 365  10.00   6.50  25.00                     
12 31 365  11.00   4.60  31.00                     
12 31 365  12.00   5.00  26.00                     
12 31 365  13.00   3.30  26.00                     
12 31 365  14.00   2.50  16.00                     
12 31 365  15.00   1.90  16.00                     
12 31 365  16.00   1.80                            
12 31 365  17.00   2.30  15.00                     
12 31 365  18.00   2.40  15.00                     
12 31 365  19.00   2.70  17.00                     
12 31 365  20.00   2.80  16.00                     
12 31 365  21.00   2.90  15.00                     
