Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 17 351  22.00   3.70  15.00                     
12 17 351  23.00   3.80  15.00                     
12 17 351   0.00   3.60  15.00                     
12 17 351   1.00   3.20  15.00                     
12 17 351   2.00   2.60  18.00                     
12 17 351   3.00   2.20  15.00                     
12 17 351   4.00   2.00  15.00                     
12 17 351   5.00   4.00  16.00  160.00              
12 17 351   6.00   5.00  19.00                     
12 17 351   7.00   5.70  24.00  195.00              
12 17 351   8.00   5.30  24.00  220.00              
12 17 351   9.00   5.70  27.00                     
12 17 351  10.00   5.20  28.00                     
12 17 351  11.00   5.30  24.00  170.00              
12 17 351  12.00   4.30  21.00                     
12 17 351  13.00   3.60  22.00                     
12 17 351  14.00   3.00  20.00                     
12 17 351  15.00   2.80  40.00                     
12 17 351  16.00   2.50  15.00                     
12 17 351  17.00   2.40  15.00                     
12 17 351  18.00   2.60  15.00                     
12 17 351  19.00   2.80  15.00                     
12 17 351  20.00   2.80  15.00                     
12 17 351  21.00   2.90  15.00                     
