Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 1 11  11  22.00   2.40   1.60                     
 1 11  11  23.00   2.40   1.50                     
 1 11  11   0.00   2.30   1.50                     
 1 11  11   1.00   1.80   1.60                     
 1 11  11   2.00   1.70                            
 1 11  11   3.00   1.90   1.70                     
 1 11  11   4.00   2.00   1.60                     
 1 11  11   5.00   4.10   1.50   1.50              
 1 11  11   6.00   4.70   2.00                     
 1 11  11   7.00   5.20   2.20                     
 1 11  11   8.00   5.30   2.60   2.25              
 1 11  11   9.00   5.30   2.60   2.30              
 1 11  11  10.00   5.50   2.50   2.25              
 1 11  11  11.00   5.00   2.20   2.05              
 1 11  11  12.00   5.30   2.00                     
 1 11  11  13.00   3.60   1.50                     
 1 11  11  14.00   2.80   1.50                     
 1 11  11  15.00   2.10   1.60                     
 1 11  11  16.00   2.00   1.60                     
 1 11  11  17.00   2.00   1.60                     
 1 11  11  18.00   2.50   1.50                     
 1 11  11  19.00   2.40   1.50                     
 1 11  11  20.00   2.20   1.50                     
 1 11  11  21.00   2.40   1.50                     
