Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 24 359  22.00   3.00   1.00                     
12 24 359  23.00   2.90   1.00                     
12 24 359   0.00   2.00   1.00                     
12 24 359   1.00   1.90   1.50                     
12 24 359   2.00   1.90   1.50                     
12 24 359   3.00   1.90                            
12 24 359   4.00   2.10                            
12 24 359   5.00   3.00   1.60  160.00              
12 24 359   6.00   5.50   1.80  180.00              
12 24 359   7.00   6.10   2.20  220.00              
12 24 359   8.00   5.90   3.20  225.00              
12 24 359   9.00   6.40   2.60  225.00              
12 24 359  10.00   6.80   2.10  210.00              
12 24 359  11.00   5.40   2.00  180.00              
12 24 359  12.00   4.70   2.20                     
12 24 359  13.00   4.00   1.50                     
12 24 359  14.00   2.90   1.60                     
12 24 359  15.00   2.40   1.40                     
12 24 359  16.00   2.50   2.00                     
12 24 359  17.00   3.10   1.90                     
12 24 359  18.00   3.10   1.50                     
12 24 359  19.00   3.30   1.50                     
12 24 359  20.00   3.30   1.50                     
12 24 359  21.00   3.20   1.00                     
