Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 1 24  24  13.00   3.70                            
 1 24  24  14.00   3.30                            
 1 24  24  15.00   3.10   1.70                     
 1 24  24  16.00   3.00   1.50                     
 1 24  24  17.00   2.60   1.80                     
 1 24  24  18.00   2.40   1.50                     
 1 24  24  19.00   2.40   1.50                     
 1 24  24  20.00   2.50   1.50                     
 1 24  24  21.00   2.60   1.50                     
