Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 30 364  22.00   3.00                            
12 30 364  23.00   2.70   1.50                     
12 30 364   0.00   2.70   1.20                     
12 30 364   1.00   2.60   1.50                     
12 30 364   2.00          1.50                     
12 30 364   5.00   3.40   1.50                     
12 30 364   6.00   5.30                            
12 30 364   7.00   5.40                            
12 30 364   8.00   6.00                            
12 30 364   9.00   6.10                            
12 30 364  10.00   5.70                            
12 30 364  11.00   5.60                            
12 30 364  12.00   5.80                            
12 30 364  14.00   3.40                            
12 30 364  21.00   2.30   1.50                     
