Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 1 26  26  22.00   2.80   1.50                     
 1 26  26  23.00   2.90   1.50                     
 1 26  26   0.00   2.70   1.50                     
 1 26  26   5.00   4.00                            
 1 26  26   6.00                 1.90              
 1 26  26   7.00   4.60   3.20                     
 1 26  26   8.00          2.20                     
 1 26  26  10.00   5.00   3.20                     
 1 26  26  11.00   5.30   2.50                     
 1 26  26  14.00   3.50   1.50                     
 1 26  26  16.00   3.00   1.60                     
