Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 2 22  53  22.00   3.80   1.50                     
 2 22  53  23.00   3.80   1.50                     
 2 22  53   0.00          1.50                     
 2 22  53   1.00   3.50   1.50                     
 2 22  53   4.00   4.50                            
 2 22  53   5.00   5.30          2.00              
 2 22  53   6.00   6.00          2.20              
 2 22  53   7.00   5.90          2.40              
 2 22  53   8.00   6.30          2.40              
 2 22  53   9.00   6.10          2.55              
 2 22  53  10.00   6.30          2.55              
 2 22  53  11.00   5.60          2.55              
 2 22  53  12.00   6.40                            
 2 22  53  13.00   5.80                            
 2 22  53  15.00   4.10   1.60                     
 2 22  53  20.00   3.00   1.50                     
 2 22  53  21.00   2.70   1.50                     
