Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 17 351  22.00   3.60                            
12 17 351  23.00   3.70                            
12 17 351   0.00   3.40                            
12 17 351   1.00   3.00                            
12 17 351   2.00   2.70                            
12 17 351   3.00   2.90                            
12 17 351   4.00   2.90                            
12 17 351   9.00   5.10                            
12 17 351  10.00   5.50                            
12 17 351  11.00   5.20                            
12 17 351  12.00   3.80                            
12 17 351  13.00   3.00   1.50                     
12 17 351  14.00   2.70                            
12 17 351  16.00   2.70   1.50                     
12 17 351  18.00   2.90   1.50                     
12 17 351  19.00   3.00                            
12 17 351  21.00   3.30   1.80                     
