Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 3  7  66  22.00   3.40   1.50                     
 3  7  66  23.00   3.50   1.50                     
 3  7  66   0.00   3.70   1.50                     
 3  7  66   1.00   3.50   1.50                     
 3  7  66   2.00   3.20   1.50                     
 3  7  66   3.00   3.60   1.50                     
 3  7  66   4.00   5.00                            
 3  7  66   5.00   5.50          2.05              
 3  7  66   6.00   6.10          2.30              
 3  7  66   7.00   5.80          2.50              
 3  7  66   8.00   6.20   2.00   2.75   4.00       
 3  7  66   9.00   6.00          2.85              
 3  7  66  10.00   6.40   3.00   2.90   4.00       
 3  7  66  11.00   6.40          2.60              
 3  7  66  12.00   6.30          2.35              
 3  7  66  13.00   6.00          2.00              
 3  7  66  14.00   6.30                            
 3  7  66  15.00   5.30                            
 3  7  66  19.00   3.30   1.50                     
 3  7  66  21.00   3.30   1.50                     
