Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 23 357  22.00   3.40   1.50                     
12 23 357  23.00   3.40                            
12 23 357   0.00   2.80   1.20                     
12 23 357   1.00   2.20   1.20                     
12 23 357   2.00          2.30                     
12 23 357   5.00   3.40                            
12 23 357   6.00   4.50                            
12 23 357   7.00   5.00                            
12 23 357   8.00   5.50   2.80                     
12 23 357   9.00   5.00                            
12 23 357  10.00   5.20                            
12 23 357  11.00   5.60   2.80                     
12 23 357  12.00   4.30   2.40                     
12 23 357  13.00   3.30   2.40                     
12 23 357  14.00          2.00                     
12 23 357  18.00          3.50                     
12 23 357  20.00          2.00                     
