Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12  2 336  22.00   3.10   1.30                     
12  2 336  23.00   3.00                            
12  2 336   0.00   2.50                            
12  2 336   1.00   2.00   1.20                     
12  2 336   2.00   1.70                            
12  2 336   3.00          2.40                     
12  2 336   4.00   2.20   2.00                     
12  2 336   5.00   3.70   3.00                     
12  2 336   8.00   5.30         225.00              
12  2 336   9.00   5.00                            
12  2 336  10.00   5.50                            
12  2 336  11.00   5.40         170.00              
12  2 336  12.00   5.00   1.70                     
12  2 336  13.00   3.60   1.90                     
12  2 336  14.00   3.00   1.50                     
12  2 336  21.00   2.70   1.50                     
