mo da yda  time  FoF2  FoF1   FoE  HmF2  HmF1   HmE   Tec  HTop    B0    B1    D1
 1 20  20  0.00  0.00  0.00  0.00   0.0   0.0   0.0  0.00   0.0   0.0  0.00  0.00
 1 20  20  0.25  1.92  0.00  0.00 262.0   0.0   0.0  0.65  30.6  62.0  1.77  0.00
 1 20  20  0.50  2.33  0.00  0.00 237.2   0.0   0.0  0.87  28.9  41.9  5.86  0.00
 1 20  20  0.75  3.12  0.00  0.00 241.4   0.0   0.0  2.44  47.8  79.4  3.87  0.00
 1 20  20  1.00  3.12  0.00  0.00 250.9   0.0   0.0  3.10  61.3  86.8  6.00  0.00
 1 20  20  1.25  3.84  0.00  0.00 228.4   0.0   0.0  3.80  49.0  83.6  3.39  0.00
 1 20  20  1.50  3.92  0.00  0.00 202.3   0.0   0.0  2.40  27.9  48.9  2.63  0.00
 1 20  20  1.75  4.00  0.00  0.00 203.8   0.0   0.0  2.68  29.8  53.2  2.41  0.00
 1 20  20  2.00  4.24  0.00  0.00 213.6   0.0   0.0  3.65  36.6  71.1  2.25  0.00
 1 20  20  2.25  4.56  0.00  1.94 212.7   0.0 104.4  4.14  35.8  69.8  1.91  0.00
 1 20  20  2.50  4.56  0.00  2.02 216.3   0.0 102.4  5.80  53.5  74.2  6.00  0.00
 1 20  20  2.75  4.24  0.00  2.10 212.6   0.0 105.3  4.36  44.5  73.0  3.28  0.00
 1 20  20  3.00  4.26  3.00  2.18 210.6 155.6 103.8  4.36  45.6  68.1  4.14  0.50
 1 20  20  3.25  4.48  0.00  2.18 201.6   0.0 100.7  4.08  36.6  66.3  2.27  0.00
 1 20  20  3.50  4.16  0.00  2.26 192.6   0.0 101.8  3.63  37.8  68.1  2.50  0.00
 1 20  20  3.75  5.08  3.40  2.26 254.6 163.7 100.8  8.41  61.9 116.2  2.11  0.50
 1 20  20  4.25  4.76  3.40  2.34 236.9 165.3 101.2  6.89  58.1  95.9  3.14  0.50
 1 20  20  4.50  5.85  3.48  2.34 244.7 163.2  99.6  8.57  46.3  96.0  1.57  0.50
 1 20  20  4.75  5.85  3.40  2.42 225.9 175.3 101.2  6.03  31.6  48.4  2.81  1.00
 1 20  20  5.00  5.76  3.54  2.42 219.2 171.2 101.2  5.79  31.3  51.2  2.38  0.66
 1 20  20  5.25  5.38  3.56  2.42 220.6 171.9 101.6  6.18  39.7  55.8  4.22  0.50
 1 20  20  5.50  5.37  3.61  2.42 226.0 172.3 101.4  6.52  42.2  63.6  3.66  0.50
 1 20  20  5.75  5.21  3.56  2.42 211.5 163.4 103.9  5.30  35.9  60.6  2.38  0.50
 1 20  20  6.00  5.45  3.46  2.42 217.2 162.7 102.8  5.90  36.4  61.0  2.45  0.57
 1 20  20  6.25  5.37  3.32  2.34 209.9 159.2 102.4  5.59  36.1  53.5  3.86  0.66
 1 20  20  6.50  4.97  3.40  2.34 236.4 156.0 104.4  7.41  57.1 119.5  1.82  0.10
 1 20  20  6.75  5.46  3.48  2.26 241.4 164.2 102.5  7.98  50.3  97.0  1.97  0.50
 1 20  20  7.00  5.36  3.24  2.26 213.1 157.3 103.7  5.11  32.1  62.1  1.74  0.58
 1 20  20  7.25  5.36  3.16  2.18 205.3 168.6 104.2  3.95  24.4  37.2  3.07  0.65
 1 20  20  7.50  4.89  3.00  2.18 208.4 183.1 104.7  2.94  21.1  27.3  5.12  0.50
 1 20  20  7.75  4.49  0.00  2.10 196.8   0.0  96.5  3.41  29.5  52.6  2.03  0.00
 1 20  20  8.00  4.17  0.00  2.02 211.3   0.0 102.4  3.88  40.1  67.0  3.43  0.00
 1 20  20  8.25  4.24  0.00  1.94 202.9   0.0 106.8  2.87  27.3  54.4  1.66  0.00
 1 20  20  8.50  4.25  0.00  1.86 207.0   0.0 105.5  3.08  30.1  55.3  2.10  0.00
 1 20  20  8.75  3.94  0.00  0.00 209.6   0.0   0.0  2.61  30.0  42.8  5.50  0.00
 1 20  20  9.00  3.60  0.00  0.00 212.4   0.0   0.0  2.51  34.9  57.5  3.40  0.00
 1 20  20  9.25  3.76  0.00  0.00 251.9   0.0   0.0  4.25  57.7  82.5  6.00  0.00
 1 20  20  9.50  3.84  0.00  0.00 246.9   0.0   0.0  3.91  50.5  89.2  2.88  0.00
 1 20  20  9.75  3.52  0.00  0.00 231.8   0.0   0.0  2.47  37.8  64.6  3.35  0.00
 1 20  20 10.00  3.04  0.00  0.00 239.1   0.0   0.0  2.15  44.6  76.3  3.33  0.00
 1 20  20 10.25  2.40  0.00  0.00 250.2   0.0   0.0  1.67  55.9 101.9  2.73  0.00
 1 20  20 10.50  2.16  0.00  0.00 299.0   0.0   0.0  1.42  58.7 103.3  2.90  0.00
 1 20  20 10.75  2.16  0.00  0.00 301.9   0.0   0.0  1.35  55.9  98.6  2.84  0.00
 1 20  20 11.00  2.16  0.00  0.00 306.2   0.0   0.0  1.31  54.4  97.0  2.72  0.00
 1 20  20 11.25  2.16  0.00  0.00 299.6   0.0   0.0  1.22  50.6  90.1  2.73  0.00
 1 20  20 11.75  2.24  0.00  0.00 272.6   0.0   0.0  1.26  48.7  86.7  2.76  0.00
 1 20  20 12.00  2.24  0.00  0.00 278.9   0.0   0.0  1.19  46.0  82.3  2.67  0.00
 1 20  20 12.50  2.16  0.00  0.00 306.8   0.0   0.0  1.21  50.0  89.6  2.65  0.00
 1 20  20 12.75  2.08  0.00  0.00 317.2   0.0   0.0  1.16  51.5  92.7  2.61  0.00
 1 20  20 13.00  2.32  0.00  0.00 304.0   0.0   0.0  1.22  43.7  78.9  2.57  0.00
 1 20  20 13.25  2.48  0.00  0.00 303.7   0.0   0.0  1.46  46.0  82.8  2.60  0.00
 1 20  20 13.50  2.56  0.00  0.00 291.1   0.0   0.0  1.47  43.5  78.3  2.60  0.00
 1 20  20 13.75  2.96  0.00  0.00 283.4   0.0   0.0  1.95  43.3  78.2  2.57  0.00
 1 20  20 14.00  2.72  0.00  0.00 288.0   0.0   0.0  1.80  47.2  85.0  2.59  0.00
 1 20  20 14.25  2.80  0.00  0.00 298.8   0.0   0.0  1.90  47.0  85.0  2.54  0.00
 1 20  20 14.50  2.88  0.00  0.00 290.6   0.0   0.0  1.93  45.0  81.7  2.51  0.00
 1 20  20 14.75  2.88  0.00  0.00 284.8   0.0   0.0  1.88  44.0  79.5  2.56  0.00
 1 20  20 15.00  2.88  0.00  0.00 282.8   0.0   0.0  1.79  41.8  75.5  2.55  0.00
 1 20  20 15.25  2.88  0.00  0.00 277.7   0.0   0.0  1.85  43.3  78.2  2.57  0.00
 1 20  20 15.50  2.72  0.00  0.00 297.9   0.0   0.0  1.76  46.1  83.5  2.54  0.00
 1 20  20 15.75  2.88  0.00  0.00 277.7   0.0   0.0  1.67  39.0  70.7  2.53  0.00
