mo da yda  time  FoF2  FoF1   FoE  HmF2  HmF1   HmE   Tec  HTop    B0    B1    D1
 2 20  51  0.00  3.04  0.00  0.00 258.2   0.0   0.0  2.82  57.9 108.2  2.53  0.00
 2 20  51  0.25  3.69  0.00  1.30 219.8   0.0 115.4  2.06  27.2  42.5  4.08  0.00
 2 20  51  0.50  4.09  0.00  0.00 215.3   0.0   0.0  2.71  29.3  46.0  3.98  0.00
 2 20  51  0.75  4.41  0.00  0.00 211.8   0.0   0.0  2.87  26.2  41.2  3.75  0.00
 2 20  51  1.00  4.81  0.00  1.78 204.8   0.0 109.5  2.92  21.9  36.0  2.90  0.00
 2 20  51  1.25  4.96  0.00  1.94 198.2   0.0 105.5  3.29  23.2  43.6  1.89  0.00
 2 20  51  1.50  4.97  2.92  2.10 198.6 156.4 106.8  3.78  28.1  44.1  3.42  0.50
 2 20  51  1.85  5.45  3.24  2.18 204.3 164.6 106.3  4.49  27.8  41.2  3.90  0.50
 2 20  51  2.00  5.53  3.24  2.26 200.3 153.3 102.2  5.04  30.5  48.6  3.18  0.51
 2 20  51  2.25  5.14  3.48  2.26 206.4 160.5 103.4  5.03  35.5  55.1  3.39  0.50
 2 20  51  2.50  5.53  3.32  2.34 204.0 153.5 102.5  5.11  30.5  54.0  2.18  0.56
 2 20  51  2.75  5.37  3.48  2.42 201.3 156.4 102.8  5.02  32.0  51.3  2.76  0.54
 2 20  51  3.00  5.37  3.56  2.50 202.8 151.5 102.1  5.69  36.8  61.2  2.65  0.50
 2 20  51  3.25  5.45  3.56  2.58 203.5 152.5 104.3  5.80  36.3  58.5  2.87  0.51
 2 20  51  3.50  5.29  3.64  2.58 202.0 153.2 103.2  5.56  36.9  60.7  2.63  0.50
 2 20  51  3.75  5.29  3.64  2.58 202.9 153.5 100.8  5.65  37.5  62.1  2.62  0.50
 2 20  51  4.00  5.30  3.64  2.66 212.7 150.2 100.8  6.99  47.2  76.7  2.91  0.50
 2 20  51  4.25  5.54  3.88  2.66 215.6 156.0 100.8  7.43  45.5  80.4  2.27  0.50
 2 20  51  4.50  5.62  3.85  2.66 209.2 154.7 101.8  6.86  40.5  67.0  2.55  0.52
 2 20  51  4.75  5.69  3.88  2.66 210.0 158.9 103.2  6.65  37.9  66.3  2.17  0.50
 2 20  51  5.00  5.61  3.80  2.66 209.1 157.6 103.5  6.39  37.4  64.0  2.26  0.54
 2 20  51  5.25  5.46  3.85  2.66 212.1 156.0 100.3  7.19  45.6  70.6  3.26  0.50
 2 20  51  5.50  5.62  3.94  2.66 225.9 163.7 100.6  8.18  48.7  80.4  2.58  0.50
 2 20  51  5.75  5.46  3.60  2.66 203.9 152.2 104.6  5.68  34.8  59.5  2.24  0.68
