mo da yda  time  FoF2  FoF1   FoE  HmF2  HmF1   HmE   Tec  HTop    B0    B1    D1
 2 14  45  0.00  2.80  0.00  0.00 268.7   0.0   0.0  2.24  54.3  94.0  3.13  0.00
 2 14  45  0.25  3.68  0.00  0.00 244.2   0.0   0.0  3.39  47.6  83.0  3.01  0.00
 2 14  45  0.50  4.28  0.00  0.00 225.3   0.0   0.0  3.14  31.6  53.3  3.36  0.00
 2 14  45  0.75  4.57  0.00  0.00 211.1   0.0   0.0  3.04  26.5  41.0  4.26  0.00
 2 14  45  1.00  5.04  0.00  0.00 202.8   0.0   0.0  3.01  20.8  34.5  3.00  0.00
 2 14  45  1.25  5.21  0.00  1.86 206.5   0.0 106.7  4.20  28.0  46.2  3.07  0.00
 2 14  45  1.50  5.21  0.00  1.94 200.4   0.0 104.6  4.15  27.6  47.6  2.62  0.00
 2 14  45  1.75  5.29  2.92  2.02 197.4 159.4 106.1  3.35  21.3  39.5  1.95  0.50
 2 14  45  2.00  5.37  3.08  2.10 207.5 157.8 102.2  5.01  32.4  51.1  3.41  0.50
 2 14  45  2.25  5.30  3.14  2.18 210.3 155.7 101.9  5.63  37.9  57.3  4.03  0.50
 2 14  45  2.50  5.36  3.24  2.26 200.3 153.8 101.5  4.80  30.8  49.2  2.99  0.52
 2 14  45  2.75  5.37  3.40  2.34 211.0 155.5 102.8  5.88  38.1  64.0  2.72  0.50
 2 14  45  3.00  5.37  3.46  2.42 198.6 152.7 102.4  4.98  31.8  51.9  2.65  0.55
 2 14  45  3.25  5.21  3.56  2.42 204.4 154.8 100.5  5.49  37.7  62.2  2.70  0.50
 2 14  45  3.50  5.21  3.64  2.50 208.0 154.9 102.0  5.88  40.5  70.8  2.34  0.50
 2 14  45  3.75  5.69  3.72  2.50 220.1 158.6 101.5  7.38  42.6  75.4  2.27  0.50
 2 14  45  4.00  5.69  3.80  2.50 210.1 164.4 100.9  5.97  33.7  54.5  2.50  0.53
 2 14  45  4.25  5.85  3.80  2.58 214.5 162.3 102.3  6.74  36.1  61.2  2.30  0.57
 2 14  45  4.50  5.85  3.80  2.58 214.0 162.5 101.2  6.74  36.3  60.2  2.46  0.52
 2 14  45  4.75  5.93  3.80  2.66 210.2 159.8 101.6  6.64  34.5  57.5  2.39  0.60
 2 14  45  5.00  5.93  3.77  2.58 210.9 159.4 100.2  6.57  34.2  58.5  2.26  0.54
 2 14  45  5.25  5.76  3.80  2.58 210.9 161.0  99.7  6.48  35.8  58.4  2.49  0.59
 2 14  45  5.50  5.76  3.70  2.58 210.1 158.4 101.0  6.45  35.8  57.2  2.70  0.60
 2 14  45  5.75  5.69  3.80  2.58 215.0 163.3 100.9  6.77  38.9  62.4  2.90  0.50
 2 14  45  6.00  5.45  3.64  2.58 211.5 161.1 101.8  6.04  37.7  59.5  2.95  0.50
 2 14  45  6.25  5.45  3.60  2.58 202.1 154.5 101.1  5.42  33.4  55.6  2.40  0.54
 2 14  45  6.50  5.45  3.46  2.58 213.0 151.6 103.2  6.52  41.0  71.0  2.44  0.50
 2 14  45  6.75  5.13  3.48  2.50 201.8 155.7 101.4  4.82  33.5  57.6  2.23  0.50
 2 14  45  7.00  5.21  3.48  2.50 208.0 155.3 101.9  5.54  37.8  62.4  2.53  0.54
 2 14  45  7.25  4.81  3.56  2.50 207.1 158.7 104.5  5.20  42.1  66.8  3.07  0.50
 2 14  45  7.50  5.14  3.48  2.42 216.0 159.7 103.1  5.82  40.9  70.6  2.36  0.50
 2 14  45  7.75  5.13  3.32  2.42 215.9 160.7 106.0  5.51  38.7  63.9  2.71  0.50
 2 14  45  8.00  5.13  3.24  2.34 211.2 159.9 103.6  4.95  34.5  59.2  2.41  0.50
 2 14  45  8.25  4.89  3.00  2.26 210.2 156.2 103.7  4.70  36.5  58.3  3.04  0.50
 2 14  45  8.50  4.81  3.13  2.18 217.7 161.8 106.4  4.85  38.9  68.1  2.47  0.50
 2 14  45  8.75  4.81  0.00  2.10 217.5   0.0 108.1  4.71  36.8  64.2  2.41  0.00
 2 14  45  9.00  4.65  0.00  1.94 230.9   0.0 104.4  5.42  46.5  75.5  3.44  0.00
 2 14  45  9.25  4.41  0.00  1.86 226.0   0.0 102.0  4.38  41.2  64.9  3.66  0.00
 2 14  45  9.50  4.73  0.00  0.00 265.7   0.0   0.0  5.82  47.6  90.2  2.07  0.00
 2 14  45  9.75  5.68  2.66  0.00 255.7 189.0   0.0  5.68  32.2  60.9  1.94  0.50
 2 14  45 10.00  6.32  2.18  0.00 237.0 185.3   0.0  5.07  23.7  38.9  3.40  1.00
 2 14  45 10.25  5.93  0.00  0.00 227.9   0.0   0.0  4.32  23.1  38.9  3.23  0.00
 2 14  45 10.50  5.20  0.00  0.00 266.6   0.0   0.0  6.76  48.3  86.5  2.66  0.00
 2 14  45 10.75  5.44  0.00  0.00 271.8   0.0   0.0  6.27  40.9  74.2  2.51  0.00
 2 14  45 11.00  5.28  0.00  0.00 261.0   0.0   0.0  5.22  36.2  65.9  2.47  0.00
 2 14  45 11.25  4.96  0.00  0.00 255.4   0.0   0.0  4.60  36.2  66.0  2.47  0.00
 2 14  45 11.50  4.40  0.00  0.00 252.7   0.0   0.0  3.77  37.7  68.7  2.47  0.00
 2 14  45 11.75  4.00  0.00  0.00 250.4   0.0   0.0  3.04  36.9  67.3  2.46  0.00
 2 14  45 12.00  3.36  0.00  0.00 242.3   0.0   0.0  1.90  32.5  59.3  2.45  0.00
 2 14  45 12.25  2.96  0.00  0.00 258.4   0.0   0.0  1.84  40.8  73.6  2.59  0.00
 2 14  45 12.50  2.88  0.00  0.00 252.1   0.0   0.0  1.61  37.8  68.2  2.59  0.00
 2 14  45 12.75  2.56  0.00  0.00 259.9   0.0   0.0  1.30  38.6  69.4  2.62  0.00
 2 14  45 13.00  2.56  0.00  0.00 288.8   0.0   0.0  1.53  45.2  81.5  2.58  0.00
 2 14  45 13.25  2.56  0.00  0.00 305.5   0.0   0.0  1.67  49.4  88.9  2.60  0.00
 2 14  45 13.50  2.56  0.00  0.00 302.5   0.0   0.0  1.57  46.5  83.9  2.57  0.00
 2 14  45 13.75  2.64  0.00  0.00 290.1   0.0   0.0  1.56  43.4  78.5  2.55  0.00
 2 14  45 14.00  2.64  0.00  0.00 293.2   0.0   0.0  1.65  45.9  82.8  2.57  0.00
 2 14  45 14.25  2.56  0.00  0.00 307.7   0.0   0.0  1.56  45.9  83.1  2.53  0.00
