mo da yda  time  FoF2  FoF1   FoE  HmF2  HmF1   HmE   Tec  HTop    B0    B1    D1
 3 23  83  0.00  4.25  0.00  1.94 213.4   0.0 106.2  3.12  29.9  55.4  1.91  0.00
 3 23  83  0.25  4.33  0.00  2.10 213.5   0.0 107.4  3.81  36.1  64.4  2.27  0.00
 3 23  83  0.50  4.52  3.16  2.18 228.8 162.1 106.8  5.56  51.7  85.4  3.13  0.50
 3 23  83  0.75  4.76  3.32  2.26 235.4 167.2 105.5  6.30  52.6  88.1  2.80  0.50
 3 23  83  1.00  5.06  3.56  2.34 231.8 171.3 103.2  6.58  48.2  77.4  2.88  0.50
 3 23  83  1.25  5.13  3.72  2.42 222.9 174.8 106.4  5.68  39.5  68.9  2.09  0.50
 3 23  83  1.50  5.13  3.70  2.50 213.0 165.8 103.1  5.51  38.5  65.0  2.23  0.50
 3 23  83  1.75  5.14  3.80  2.58 215.7 166.0 104.7  5.96  41.7  72.8  2.09  0.50
 3 23  83  2.00  5.16  3.80  2.66 211.6 165.9 105.5  5.60  38.4  65.9  2.03  0.50
 3 23  83  2.25  5.14  3.96  2.74 219.0 164.7 103.1  6.81  48.3  87.2  2.00  0.50
 3 23  83  2.50  5.32  3.96  2.74 231.4 165.2 101.5  8.54  57.3  92.4  2.73  0.50
 3 23  83  2.75  5.32  3.96  2.82 236.4 163.3 102.5  9.20  62.1 102.3  2.66  0.50
 3 23  83  3.00  5.46  3.96  2.82 231.1 163.1 102.5  8.50  53.6  94.1  2.09  0.54
 3 23  83  3.25  5.46  4.04  2.82 235.3 171.7 102.0  8.44  52.8  93.1  1.96  0.50
 3 23  83  3.50  5.62  4.06  2.82 228.3 167.3 100.5  8.44  49.8  82.1  2.20  0.70
 3 23  83  3.75  5.70  4.04  2.90 235.7 166.1 102.4  9.15  52.6  92.8  2.04  0.52
 3 23  83  4.00  5.93  4.04  2.90 229.4 166.2 104.1  8.27  42.7  82.3  1.49  1.00
 3 23  83  4.25  5.86  4.12  2.90 235.7 170.6 105.7  9.28  50.3  83.7  2.30  0.60
 3 23  83  4.50  5.88  4.12  2.90 242.6 168.3 103.7 10.44  56.8  93.0  2.47  0.69
 3 23  83  4.75  5.78  4.12  2.82 236.8 170.8 104.5  9.30  52.1  88.2  2.23  0.55
 3 23  83  5.00  5.94  4.22  2.90 235.7 169.4 101.3  9.75  51.5  88.8  2.02  0.68
 3 23  83  5.25  6.09  4.12  2.90 233.3 169.0 101.5  9.12  45.0  79.1  1.89  1.00
 3 23  83  5.50  6.09  4.12  2.90 228.5 169.8 103.8  8.55  42.0  69.8  2.06  1.00
 3 23  83  5.75  6.10  4.12  2.90 224.3 166.3 100.6  8.48  41.8  68.5  2.17  1.00
 3 23  83  6.00  6.01  4.12  2.90 224.9 167.8 102.5  8.24  41.7  72.7  1.91  0.69
 3 23  83  6.25  5.77  4.06  2.90 218.9 163.3 103.0  7.80  43.2  73.7  2.03  1.00
 3 23  83  6.50  5.62  4.04  2.90 227.3 158.3 101.6  9.11  54.6  93.3  2.36  0.50
 3 23  83  6.75  5.62  4.04  2.90 226.1 161.7 104.1  8.48  50.3  88.3  2.09  0.55
 3 23  83  7.00  5.54  3.96  2.82 221.3 159.1 100.0  7.87  47.9  84.0  2.02  0.60
 3 23  83  7.25  5.54  3.88  2.82 229.7 157.8 102.8  8.74  53.7  91.2  2.38  0.60
 3 23  83  7.50  5.53  3.88  2.74 221.0 162.4 101.7  7.32  44.3  75.4  2.13  0.60
 3 23  83  8.00  5.53  3.77  2.74 220.6 160.8 102.7  7.07  42.7  73.6  2.15  0.60
 3 23  83  8.25  5.48  3.72  2.66 230.7 162.3 104.3  8.34  52.6  81.4  3.22  0.57
 3 23  83  8.50  5.30  3.72  2.58 218.8 160.9  99.4  6.67  44.2  76.7  2.23  0.50
 3 23  83  8.75  5.46  3.64  2.50 227.1 165.9 103.7  7.03  43.7  75.2  2.30  0.51
