mo da yda  time  FoF2  FoF1   FoE  HmF2  HmF1   HmE   Tec  HTop    B0    B1    D1
 2 20  51  0.00  2.64  0.00  0.00 242.5   0.0   0.0  1.40  34.8  71.4  1.73  0.00
 2 20  51  0.25  3.00  0.00  0.00 241.0   0.0   0.0  1.97  38.5  71.1  2.17  0.00
 2 20  51  0.50  3.24  2.20  0.00 238.6 180.0   0.0  2.47  43.5  74.3  2.67  0.50
 2 20  51  1.00  3.56  2.52  0.00 231.0 170.0   0.0  3.17  46.3  83.7  2.31  0.50
 2 20  51  1.25  3.88  2.92  0.00 227.6 182.1   0.0  3.33  40.2  67.1  2.48  0.50
 2 20  51  1.50  3.88  3.08  0.00 229.0 174.3   0.0  4.08  50.8  93.5  2.31  0.50
 2 20  51  1.75  4.12  3.32  2.18 216.1 174.8  99.4  3.98  43.3  71.0  2.28  0.50
 2 20  51  2.00  4.20  3.32  2.18 211.9 168.4 100.9  4.04  42.6  70.8  2.50  0.50
 2 20  51  2.25  4.04  3.32  2.26 222.5 164.1 100.3  4.98  58.3 101.7  2.64  0.50
 2 20  51  2.50  4.52  3.32  2.34 240.9 177.2 102.1  5.81  53.0  90.3  2.38  0.50
 2 20  51  2.75  4.92  3.56  0.00 229.7 189.5   0.0  4.97  36.8  51.1  3.55  0.50
 2 20  51  3.00  4.98  3.64  2.42 213.0 169.5 110.0  4.96  36.5  62.8  2.14  0.50
 2 20  51  3.25  4.74  3.58  2.42 203.1 162.2 102.0  4.51  36.8  63.2  2.04  0.50
 2 20  51  3.75  5.24  3.72  0.00 219.3 163.2   0.0  6.23  41.8  81.2  1.75  0.50
 2 20  51  4.00  5.38  3.56  0.00 209.8 159.1   0.0  5.46  34.1  59.3  2.09  0.70
 2 20  51  4.25  5.38  3.72  0.00 214.4 171.8   0.0  5.36  33.3  54.3  2.37  0.50
 2 20  51  4.50  5.46  3.64  0.00 212.4 159.0   0.0  5.89  35.9  66.4  1.88  0.54
 2 20  51  4.75  5.54  3.56  0.00 220.5 155.6   0.0  6.62  39.4  80.4  1.58  0.50
 2 20  51  5.00  5.62  3.80  0.00 223.3 165.5   0.0  7.26  42.5  71.6  2.43  0.53
 2 20  51  5.25  5.86  3.76  0.00 223.6 162.8   0.0  7.16  37.9  75.1  1.63  0.50
 2 20  51  5.50  5.86  3.80  0.00 215.7 169.4   0.0  6.16  32.2  53.4  2.25  0.67
 2 20  51  5.75  5.77  3.72  2.66 204.1 159.6 102.4  5.45  29.2  51.8  1.87  0.67
 2 20  51  6.00  5.40  3.72  2.66 217.8 156.9 102.4  7.15  46.1  77.3  2.59  0.50
 2 20  51  6.25  5.40  3.60  0.00 218.7 154.5   0.0  6.87  43.9  80.5  2.15  0.50
 2 20  51  6.50  5.54  3.45  0.00 212.0 154.1   0.0  5.71  33.6  68.2  1.56  0.50
 2 20  51  6.75  5.46  3.64  0.00 212.8 165.1   0.0  5.75  35.2  57.0  2.64  0.50
 2 20  51  7.00  5.38  3.64  2.58 204.3 166.3 103.5  4.58  28.0  48.8  1.91  0.50
 2 20  51  7.25  5.38  3.56  0.00 205.2 165.1   0.0  4.58  28.0  49.1  2.01  0.50
 2 20  51  7.50  5.14  3.32  0.00 199.3 155.9   0.0  4.26  29.0  50.8  2.15  0.52
 2 20  51  7.75  4.90  3.32  0.00 204.5 157.2   0.0  4.56  34.8  59.2  2.49  0.50
 2 20  51  8.00  4.98  0.00  2.42 207.8   0.0 108.2  4.64  33.0  67.7  1.63  0.00
 2 20  51  8.25  4.89  0.00  2.34 207.0   0.0 101.3  4.61  34.1  67.1  1.77  0.00
 2 20  51  8.50  4.88  0.00  0.00 220.9   0.0   0.0  5.42  41.3  75.1  2.27  0.00
 2 20  51  8.75  4.88  0.00  0.00 212.5   0.0   0.0  4.40  32.5  67.6  1.57  0.00
 2 20  51  9.00  4.88  0.00  0.00 211.8   0.0   0.0  4.21  31.2  63.7  1.62  0.00
 2 20  51  9.25  4.97  0.00  0.00 214.8   0.0   0.0  3.93  27.9  52.0  2.01  0.00
 2 20  51  9.50  4.81  0.00  0.00 212.7   0.0   0.0  3.58  27.2  48.5  2.27  0.00
 2 20  51  9.75  4.73  0.00  0.00 220.7   0.0   0.0  3.89  31.4  54.1  2.71  0.00
 2 20  51 10.00  4.76  0.00  0.00 227.0   0.0   0.0  3.81  30.6  52.3  2.81  0.00
 2 20  51 10.25  4.64  0.00  0.00 222.3   0.0   0.0  3.22  27.2  46.2  2.92  0.00
 2 20  51 10.50  4.40  0.00  0.00 231.3   0.0   0.0  3.20  30.7  53.5  2.81  0.00
 2 20  51 10.75  4.24  0.00  0.00 234.3   0.0   0.0  2.29  23.5  42.7  2.43  0.00
 2 20  51 11.00  4.16  0.00  0.00 255.4   0.0   0.0  3.25  36.0  64.8  2.60  0.00
 2 20  51 11.25  3.84  0.00  0.00 237.6   0.0   0.0  1.93  25.2  39.9  4.30  0.00
 2 20  51 11.50  3.60  0.00  0.00 264.6   0.0   0.0  2.81  41.9  75.6  2.57  0.00
 2 20  51 11.75  3.44  0.00  0.00 261.0   0.0   0.0  2.20  35.9  65.5  2.46  0.00
 2 20  51 12.00  3.20  0.00  0.00 268.1   0.0   0.0  1.64  30.8  56.2  2.46  0.00
 2 20  51 12.25  3.28  0.00  0.00 263.5   0.0   0.0  2.15  40.1  58.4  6.00  0.00
 2 20  51 12.50  3.20  0.00  0.00 255.3   0.0   0.0  1.54  29.4  48.3  3.78  0.00
 2 20  51 12.75  3.12  0.00  0.00 250.2   0.0   0.0  1.30  25.9  44.1  3.22  0.00
 2 20  51 13.00  3.04  0.00  0.00 274.6   0.0   0.0  1.91  40.1  73.1  2.46  0.00
 2 20  51 13.25  2.88  0.00  0.00 269.9   0.0   0.0  1.14  26.5  44.6  3.35  0.00
 2 20  51 13.50  2.88  0.00  0.00 267.7   0.0   0.0  1.07  24.8  43.2  2.92  0.00
