mo da yda  time  FoF2  FoF1   FoE  HmF2  HmF1   HmE   Tec  HTop    B0    B1    D1
 2 13  44  0.00  2.72  0.00  0.00 259.7   0.0   0.0  2.00  51.3  85.9  3.65  0.00
 2 13  44  0.25  3.28  0.00  0.00 222.7   0.0   0.0  1.83  31.3  47.1  5.25  0.00
 2 13  44  0.50  4.17  0.00  0.00 223.4   0.0   0.0  2.97  31.7  50.0  4.05  0.00
 2 13  44  0.75  4.72  0.00  0.00 229.7   0.0   0.0  5.48  46.9  82.6  2.91  0.00
 2 13  44  1.00  4.81  0.00  0.00 207.2   0.0   0.0  3.20  25.0  38.5  4.28  0.00
 2 13  44  1.25  5.21  0.00  1.78 207.6   0.0 105.3  3.83  25.4  41.6  3.20  0.00
 2 13  44  1.50  5.44  0.00  1.94 199.5   0.0 107.0  3.90  23.5  38.2  3.16  0.00
 2 13  44  1.75  5.20  0.00  2.02 201.3   0.0 103.0  4.06  26.7  46.5  2.40  0.00
 2 13  44  2.00  5.52  2.98  2.10 205.0 157.7 103.2  4.47  26.7  48.8  2.09  0.50
 2 13  44  2.25  5.29  3.08  2.18 203.0 154.8 104.9  4.86  32.6  50.3  3.86  0.50
 2 13  44  2.50  5.37  3.24  2.26 214.0 157.2 104.0  5.74  37.1  62.5  2.74  0.50
 2 13  44  2.75  5.21  3.28  2.34 203.1 157.1 103.4  4.61  31.1  52.2  2.55  0.50
 2 13  44  3.00  5.21  3.38  2.42 204.6 154.0 103.7  5.10  34.8  58.9  2.50  0.50
 2 13  44  3.25  5.13  3.54  2.42 205.6 158.3 102.2  5.28  37.4  58.2  3.19  0.50
 2 13  44  3.50  5.29  3.60  2.50 201.6 156.7 102.3  5.19  34.3  54.1  2.90  0.50
 2 13  44  3.75  4.82  3.56  2.50 204.8 152.6 104.0  5.41  44.0  71.8  3.01  0.50
 2 13  44  4.25  5.48  3.80  2.50 228.7 164.6 100.6  8.18  51.8  77.7  3.61  0.52
 2 13  44  4.50  5.69  3.88  2.58 220.2 166.0 101.5  6.89  39.0  68.8  2.03  0.50
 2 13  44  4.75  5.61  3.80  2.58 207.9 161.9 101.7  5.99  34.9  55.6  2.59  0.58
 2 13  44  5.00  5.69  3.80  2.58 219.9 166.3 104.7  6.95  39.7  63.6  2.74  0.54
 2 13  44  5.25  5.46  3.80  2.58 209.9 162.5 101.9  6.13  38.1  58.3  2.97  0.53
 2 13  44  5.50  5.54  3.72  2.58 215.3 159.7 101.8  6.77  41.1  64.4  2.89  0.60
 2 13  44  5.75  5.53  3.80  2.58 199.9 161.7 101.7  5.18  30.9  45.6  3.17  0.50
 2 13  44  6.00  4.90  3.70  2.58 203.2 156.5 100.4  5.32  41.5  66.5  2.75  0.50
 2 13  44  6.25  5.06  3.80  2.58 214.1 165.8 101.9  5.91  43.0  69.7  2.60  0.50
 2 13  44  6.50  5.05  3.64  2.58 206.9 157.8 102.3  5.38  39.0  66.9  2.28  0.50
