mo da yda  time  FoF2  FoF1   FoE  HmF2  HmF1   HmE   Tec  HTop    B0    B1    D1
 3 20  80  0.00  4.09  0.00  1.86 213.9   0.0 106.3  3.18  33.4  65.1  1.84  0.00
 3 20  80  0.25  4.08  0.00  2.02 221.7   0.0 110.4  4.16  45.6  78.0  2.87  0.00
 3 20  80  0.50  4.60  3.32  2.10 250.8 176.5 111.1  6.74  61.0  97.0  3.45  0.50
 3 20  80  0.75  4.97  3.40  2.26 221.5 175.5 104.3  4.78  35.0  57.8  2.34  0.50
 3 20  80  1.00  4.98  3.32  2.34 219.0 166.4 109.6  5.11  37.8  63.8  2.46  0.50
 3 20  80  1.25  5.06  3.56  2.42 217.5 164.6 105.2  5.71  41.4  68.7  2.59  0.50
 3 20  80  1.50  4.89  3.48  2.50 208.4 160.5 106.1  4.99  38.5  62.8  2.62  0.50
 3 20  80  1.75  4.92  3.88  2.58 245.1 162.8 101.2  9.13  73.3 141.1  2.36  0.00
 3 20  80  2.00  5.37  3.88  2.58 237.2 174.5 101.8  7.71  49.4  86.3  1.94  0.60
 3 20  80  2.25  5.62  3.80  2.66 226.1 168.4 101.9  7.25  42.1  68.0  2.36  1.00
 3 20  80  2.50  5.54  3.88  2.74 227.2 166.9  99.5  7.77  47.1  77.2  2.43  0.53
 3 20  80  2.75  5.53  3.88  2.74 220.6 164.3 100.9  7.11  42.9  72.5  2.12  0.60
 3 20  80  3.00  5.64  3.96  2.82 222.2 162.2 100.2  7.99  46.9  76.1  2.48  0.60
 3 20  80  3.25  5.64  3.96  2.82 238.3 162.4  99.7  9.55  56.6 107.1  1.90  0.50
 3 20  80  3.50  5.93  3.96  2.82 228.0 165.7 101.3  8.07  41.8  71.3  2.00  1.00
 3 20  80  3.75  6.00  3.94  2.82 211.4 165.0 102.0  6.44  32.0  49.5  2.34  1.00
 3 20  80  4.00  5.62  4.12  2.90 213.6 161.5 101.7  7.70  45.9  67.6  3.49  0.50
 3 20  80  4.25  5.61  4.12  2.90 239.4 164.0 102.8  9.55  56.9 113.8  1.57  0.50
 3 20  80  4.75  5.77  4.04  2.90 213.6 157.9 103.4  7.62  42.5  69.6  2.29  1.00
 3 20  80  5.00  5.45  3.96  2.90 224.9 157.5 102.2  8.33  52.7  94.5  1.95  0.65
 3 20  80  5.25  5.70  3.94  2.90 231.3 154.8 102.2  9.17  52.9  92.5  2.08  1.00
 3 20  80  5.50  5.69  4.04  2.90 221.2 164.7 102.6  7.84  44.7  72.7  2.16  1.00
 3 20  80  5.75  5.77  4.02  2.90 226.9 158.4 100.6  8.92  50.1  86.2  2.13  1.00
 3 20  80  6.00  5.70  4.04  2.90 218.7 162.3 102.6  7.79  44.4  71.5  2.28  1.00
 3 20  80  6.25  5.46  4.04  2.82 223.2 165.6 101.8  7.91  49.8  81.6  2.38  0.54
 3 20  80  6.50  5.46  4.04  2.90 213.7 164.1 103.2  7.02  43.8  66.9  2.67  0.58
 3 20  80  6.75  5.30  4.04  2.82 227.2 162.3 102.0  8.42  57.0  99.0  2.26  0.50
 3 20  80  7.00  5.38  3.96  2.82 215.9 164.7 105.2  6.76  43.2  70.1  2.26  0.60
 3 20  80  7.25  5.14  3.88  2.82 219.6 158.5 103.3  7.39  53.0  89.6  2.44  0.50
 3 20  80  7.50  5.06  3.88  2.74 216.3 166.0 106.3  6.33  46.1  77.1  2.21  0.50
 3 20  80  7.75  4.92  3.80  2.74 226.4 160.1 104.0  7.63  60.5  96.5  3.17  0.50
 3 20  80  8.00  5.04  3.72  2.66 223.6 159.8 102.8  6.79  50.0  98.4  1.74  0.50
 3 20  80  8.25  5.06  3.72  2.66 225.2 162.7 103.4  7.19  53.2  84.2  3.05  0.50
 3 20  80  8.50  5.13  3.64  2.58 223.1 162.7 102.2  6.61  46.9  79.4  2.39  0.50
 3 20  80  8.75  5.14  3.48  2.50 218.0 156.8 102.1  6.25  44.2  76.0  2.36  0.51
 3 20  80  9.25  5.06  3.24  2.34 226.1 160.6 103.8  6.28  46.1  75.4  2.92  0.50
 3 20  80  9.50  4.98  3.16  2.26 232.1 160.5 104.3  6.54  49.9  82.2  3.00  0.50
 3 20  80  9.75  5.14  3.08  2.18 229.8 167.7 111.5  5.34  36.8  71.8  1.85  0.50
 3 20  80 10.00  5.13  0.00  2.10 227.8   0.0 113.7  5.14  34.8  64.9  1.97  0.00
 3 20  80 10.25  4.97  0.00  1.94 230.9   0.0 112.9  4.87  35.5  64.3  2.20  0.00
 3 20  80 10.50  4.89  0.00  1.86 231.7   0.0 111.9  4.62  34.7  64.7  2.09  0.00
 3 20  80 10.75  4.89  0.00  0.00 233.3   0.0   0.0  4.03  30.3  53.4  2.41  0.00
