mo da yda  time  FoF2  FoF1   FoE  HmF2  HmF1   HmE   Tec  HTop    B0    B1    D1
 3  4  63  0.00  3.69  0.00  0.00 223.2   0.0   0.0  2.50  33.0  54.7  3.05  0.00
 3  4  63  0.25  3.85  0.00  1.62 231.8   0.0 112.5  3.08  37.0  71.1  1.99  0.00
 3  4  63  0.50  4.16  0.00  1.78 230.1   0.0 105.4  4.37  46.6  74.0  3.41  0.00
 3  4  63  0.75  4.17  0.00  1.86 224.2   0.0 106.3  3.70  38.3  67.2  2.50  0.00
 3  4  63  1.00  4.41  3.08  0.00 219.0 179.0   0.0  3.53  32.8  49.7  3.16  0.50
 3  4  63  1.25  4.57  3.24  0.00 227.7 183.6   0.0  4.04  35.0  58.5  2.61  0.50
 3  4  63  1.50  4.90  3.32  0.00 225.6 177.8   0.0  5.06  39.1  56.1  4.38  0.50
 3  4  63  1.75  4.97  3.48  0.00 215.6 171.9   0.0  4.60  33.8  57.2  2.30  0.50
 3  4  63  2.00  4.82  3.48  0.00 212.6 166.7   0.0  4.89  39.1  59.1  3.59  0.50
 3  4  63  2.25  5.14  3.64  2.42 220.7 162.8 102.1  6.38  45.1  73.9  2.46  0.60
 3  4  63  2.50  5.13  3.64  2.50 207.5 161.7 101.4  5.26  36.8  58.6  2.55  0.51
 3  4  63  2.75  4.97  3.64  2.58 202.6 155.3 104.6  5.22  39.4  64.8  2.58  0.50
 3  4  63  3.00  5.06  3.88  2.58 211.7 167.7 102.3  5.65  40.9  65.9  2.53  0.50
 3  4  63  3.25  4.90  3.88  2.58 225.7 168.4 101.4  6.92  54.8  93.1  2.61  0.50
 3  4  63  3.50  5.36  3.96  2.66 230.7 165.9 102.0  7.77  50.4 109.0  1.45  0.50
 3  4  63  3.75  5.46  3.88  2.66 227.5 162.9 101.6  7.96  50.0  82.0  2.33  1.00
 3  4  63  4.00  5.69  3.88  2.66 220.0 159.8 100.7  7.45  42.5  70.9  2.18  1.00
 3  4  63  4.25  5.78  4.04  2.74 220.6 158.6 100.0  8.46  47.6  80.4  2.36  0.57
 3  4  63  4.50  5.85  3.84  2.74 218.1 155.8  98.9  7.58  40.7  67.5  2.22  1.03
 3  4  63  4.75  5.93  3.86  2.74 208.3 152.7  98.9  7.12  37.3  62.7  2.23  1.00
 3  4  63  5.00  5.54  3.96  2.74 215.0 155.4 101.3  7.76  47.8  79.6  2.60  0.50
 3  4  63  5.25  5.38  3.88  2.74 217.1 155.6 100.6  7.59  49.6  82.1  2.59  0.50
