mo da yda  time  FoF2  FoF1   FoE  HmF2  HmF1   HmE   Tec  HTop    B0    B1    D1
 1  6   6  0.00  2.08  0.00  0.00 292.8   0.0   0.0  1.18  52.3  91.9  2.89  0.00
 1  6   6  0.25  2.08  0.00  0.00 286.1   0.0   0.0  1.23  54.2  93.4  3.18  0.00
 1  6   6  0.50  2.32  0.00  0.00 275.0   0.0   0.0  1.65  58.6  99.8  3.46  0.00
 1  6   6  0.75  2.56  0.00  0.00 252.7   0.0   0.0  1.58  45.3  76.0  3.59  0.00
 1  6   6  1.00  3.20  0.00  0.00 223.0   0.0   0.0  1.53  26.5  48.0  2.41  0.00
 1  6   6  1.25  3.44  0.00  0.00 228.6   0.0   0.0  2.79  44.1  74.7  3.44  0.00
 1  6   6  1.50  4.17  0.00  1.46 203.6   0.0 104.6  2.05  20.3  34.4  2.61  0.00
 1  6   6  1.75  4.08  0.00  0.00 207.9   0.0   0.0  2.88  31.5  49.8  3.97  0.00
 1  6   6  2.00  4.16  0.00  0.00 235.3   0.0   0.0  5.26  58.6  83.5  6.00  0.00
 1  6   6  2.25  4.88  0.00  0.00 236.6   0.0   0.0  5.87  45.9  97.9  1.76  0.00
 1  6   6  2.50  5.29  2.84  1.94 204.0 160.5 106.4  4.08  26.9  42.5  3.62  0.59
 1  6   6  3.00  4.64  3.00  2.10 230.2 153.9 104.8  5.89  51.9 104.4  1.92  0.10
 1  6   6  3.25  4.80  0.00  2.10 224.3   0.0 104.7  5.01  39.0  73.7  1.98  0.00
 1  6   6  3.50  5.21  3.24  2.18 216.6 162.4 108.1  5.29  36.2  60.7  2.70  0.50
 1  6   6  3.75  5.29  3.26  2.18 207.8 159.8 103.6  4.71  30.7  55.9  2.08  0.50
 1  6   6  4.00  5.36  3.16  0.00 215.8 164.7   0.0  4.85  30.5  56.4  2.02  0.50
 1  6   6  4.25  5.53  3.24  2.26 202.2 167.2 103.5  3.88  22.3  36.0  2.53  0.53
 1  6   6  4.75  4.64  0.00  2.34 198.3   0.0 106.7  4.15  34.4  67.0  1.95  0.00
 1  6   6  5.00  4.97  3.32  2.34 220.7 163.0 106.1  5.27  39.2  68.2  2.25  0.50
 1  6   6  5.50  5.53  3.40  2.34 207.7 158.6 103.7  4.89  28.6  61.3  1.40  0.50
