Mo da yda  time  FoF2
 2 24  55  22.00    2.8
 2 24  55  23.00    3.2
 2 24  55   0.00    3.3
 2 24  55   1.00    3.4
 2 24  55   2.00   3.25
 2 24  55   3.00    2.3
 2 24  55   4.00   2.25
 2 24  55   5.00    4.4
 2 24  55   6.00    5.4
 2 24  55   7.00   6.35
 2 24  55   8.00    6.3
 2 24  55   9.00    6.4
 2 24  55  10.00    6.8
 2 24  55  11.00   6.15
 2 24  55  12.00    6.1
 2 24  55  13.00   6.25
 2 24  55  14.00    6.0
 2 24  55  15.00    6.1
 2 24  55  16.00    5.8
 2 24  55  17.00    4.8
 2 24  55  18.00    4.5
 2 24  55  19.00    3.6
 2 24  55  20.00    3.5
 2 24  55  21.00    3.3
