Mo da yda  time  FoF2
 2 15  46  22.00    3.4
 2 15  46  23.00    3.2
 2 15  46   0.00    3.0
 2 15  46   1.00    3.6
 2 15  46   2.00    3.7
 2 15  46   3.00    3.5
 2 15  46   4.00   2.75
 2 15  46   5.00    4.3
 2 15  46   6.00    5.9
 2 15  46   7.00    7.2
 2 15  46   8.00    8.8
 2 15  46   9.00    7.9
 2 15  46  10.00   7.55
 2 15  46  11.00    7.3
 2 15  46  12.00    7.2
 2 15  46  13.00    6.3
 2 15  46  14.00   6.05
 2 15  46  15.00    6.0
 2 15  46  16.00    5.6
 2 15  46  17.00    3.6
 2 15  46  18.00    3.2
 2 15  46  19.00    3.3
 2 15  46  20.00    3.5
 2 15  46  21.00   3.55
