Mo da yda  time  FoF2
12 15 349  22.00    3.8
12 15 349  23.00    4.0
12 15 349   0.00    3.5
12 15 349   1.00    3.2
12 15 349   2.00   2.75
12 15 349   3.00   2.75
12 15 349   4.00   2.75
12 15 349   5.00    2.4
12 15 349   6.00    4.2
12 15 349   7.00    5.0
12 15 349   8.00    5.1
12 15 349   9.00    5.7
12 15 349  10.00   5.05
12 15 349  11.00    5.6
12 15 349  12.00   4.75
12 15 349  13.00   3.75
12 15 349  14.00   2.75
12 15 349  15.00   2.35
12 15 349  16.00    2.3
12 15 349  17.00    2.5
12 15 349  18.00    2.6
12 15 349  19.00    2.8
12 15 349  20.00    3.0
12 15 349  21.00    3.2
