Mo da yda  time  FoF2
12 25 359  22.00    2.9
12 25 359  23.00    3.2
12 25 359   0.00   3.15
12 25 359   1.00   2.75
12 25 359   2.00    2.6
12 25 359   3.00    2.5
12 25 359   5.00    1.8
12 25 359   6.00   4.05
12 25 359   7.00    4.8
12 25 359   8.00    4.9
12 25 359   9.00   4.45
12 25 359  10.00    6.0
12 25 359  11.00    5.3
12 25 359  12.00   5.05
12 25 359  13.00    3.6
12 25 359  14.00    4.0
12 25 359  15.00   2.35
12 25 359  17.00    1.7
12 25 359  18.00    1.6
12 25 359  19.00    1.8
12 25 359  20.00    2.0
12 25 359  21.00   2.05
