Mo da yda  time  FoF2
 3 18  77  22.00    2.9
 3 18  77  23.00    2.8
 3 18  77   0.00    2.8
 3 18  77   1.00    2.9
 3 18  77   2.00    2.7
 3 18  77   3.00    2.4
 3 18  77   4.00   3.25
 3 18  77   5.00   4.05
 3 18  77   6.00    4.3
 3 18  77   7.00   4.55
 3 18  77   8.00    5.0
 3 18  77   9.00    5.9
 3 18  77  10.00    6.0
 3 18  77  11.00    6.1
 3 18  77  12.00    6.8
 3 18  77  13.00    6.5
 3 18  77  14.00    6.0
 3 18  77  15.00   5.55
 3 18  77  16.00    5.5
 3 18  77  17.00    5.1
 3 18  77  18.00    4.9
 3 18  77  19.00   4.25
 3 18  77  20.00    3.1
 3 18  77  21.00   3.05
