Mo da yda  time  FoF2
12  7 341  22.00    3.8
12  7 341  23.00    4.0
12  7 341   0.00    4.0
12  7 341   1.00    3.9
12  7 341   2.00   3.45
12  7 341   3.00   3.15
12  7 341   4.00    3.1
12  7 341   5.00    2.4
12  7 341   6.00    5.1
12  7 341   7.00   5.25
12  7 341   8.00   5.05
12  7 341   9.00    5.6
12  7 341  10.00    5.2
12  7 341  11.00   5.75
12  7 341  12.00    4.5
12  7 341  13.00   4.05
12  7 341  14.00   3.15
12  7 341  15.00    2.3
12  7 341  16.00   2.25
12  7 341  17.00    2.2
12  7 341  18.00   2.75
12  7 341  19.00   3.25
12  7 341  20.00    3.0
12  7 341  21.00    3.1
