Mo da yda  time  FoF2
12 21 355  22.00    2.8
12 21 355  23.00    3.0
12 21 355   0.00   2.55
12 21 355   1.00    2.4
12 21 355   2.00   2.05
12 21 355   3.00    2.0
12 21 355   4.00    2.1
12 21 355   5.00   2.05
12 21 355   6.00    3.6
12 21 355   7.00    4.6
12 21 355   8.00    5.7
12 21 355   9.00    4.9
12 21 355  10.00    5.6
12 21 355  11.00   5.75
12 21 355  12.00    5.2
12 21 355  13.00   3.45
12 21 355  14.00    3.1
12 21 355  15.00    2.7
12 21 355  16.00    2.0
12 21 355  17.00    2.0
12 21 355  19.00   2.25
12 21 355  20.00   2.35
12 21 355  21.00   2.55
