Mo da yda  time  FoF2
12 18 352  22.00    3.5
12 18 352  23.00    3.5
12 18 352   0.00    3.1
12 18 352   1.00    2.7
12 18 352   2.00   2.15
12 18 352   3.00    2.0
12 18 352   4.00   2.05
12 18 352   5.00    2.0
12 18 352   6.00    3.8
12 18 352   7.00    4.6
12 18 352   8.00   5.05
12 18 352   9.00    5.2
12 18 352  10.00   5.25
12 18 352  11.00    5.0
12 18 352  12.00    5.0
12 18 352  13.00   4.05
12 18 352  14.00   2.75
12 18 352  15.00    2.7
12 18 352  16.00    2.0
12 18 352  17.00    1.9
12 18 352  18.00    1.8
12 18 352  19.00    2.2
12 18 352  20.00   2.35
12 18 352  21.00    2.3
