Mo da yda  time  FoF2
12 20 354  22.00    3.0
12 20 354  23.00   3.05
12 20 354   0.00    3.0
12 20 354   1.00   2.55
12 20 354   2.00    2.3
12 20 354   3.00    2.0
12 20 354   4.00    1.9
12 20 354   5.00   1.95
12 20 354   6.00    4.5
12 20 354   7.00   6.05
12 20 354   8.00    4.8
12 20 354   9.00    4.5
12 20 354  10.00   5.15
12 20 354  11.00    5.3
12 20 354  12.00    4.7
12 20 354  13.00    4.0
12 20 354  14.00    2.9
12 20 354  15.00   2.55
12 20 354  16.00    2.1
12 20 354  17.00    1.9
12 20 354  18.00    2.1
12 20 354  19.00    2.5
12 20 354  20.00   2.75
12 20 354  21.00   2.55
