Mo da yda  time  FoF2
12 11 345  22.00    3.6
12 11 345  23.00    3.9
12 11 345   1.00    3.1
12 11 345   3.00   2.75
12 11 345   4.00    2.6
12 11 345   5.00    2.5
12 11 345   6.00    4.3
12 11 345   7.00    4.8
12 11 345   8.00   4.85
12 11 345   9.00    4.6
12 11 345  10.00    5.7
12 11 345  11.00    5.1
12 11 345  12.00    4.3
12 11 345  13.00    4.0
12 11 345  14.00    3.0
12 11 345  15.00    2.5
12 11 345  16.00   2.45
12 11 345  17.00    2.5
12 11 345  18.00   2.65
12 11 345  19.00    3.3
12 11 345  20.00   3.25
12 11 345  21.00   3.05
