Mo da yda  time  FoF2
12 28 362  22.00    3.0
12 28 362  23.00   3.35
12 28 362   0.00   3.25
12 28 362   1.00    3.1
12 28 362   2.00   2.65
12 28 362   3.00    2.5
12 28 362   4.00   2.75
12 28 362   5.00    3.0
12 28 362   6.00   3.45
12 28 362   7.00   4.75
12 28 362   8.00    5.5
12 28 362   9.00    5.0
12 28 362  10.00    5.6
12 28 362  11.00    5.0
12 28 362  12.00    4.9
12 28 362  13.00    3.7
12 28 362  14.00    3.1
12 28 362  15.00    3.0
12 28 362  16.00    2.8
12 28 362  17.00   2.75
12 28 362  18.00    2.8
12 28 362  19.00    3.1
12 28 362  20.00    3.4
12 28 362  21.00   3.75
