Mo da yda  time  FoF2
12 10 344  22.00    3.2
12 10 344  23.00    3.3
12 10 344   0.00    3.1
12 10 344   1.00   2.75
12 10 344   2.00    2.6
12 10 344   3.00    2.5
12 10 344   4.00   2.45
12 10 344   5.00   2.25
12 10 344   6.00    4.7
12 10 344   7.00    5.1
12 10 344   8.00    5.3
12 10 344   9.00    5.7
12 10 344  10.00    5.6
12 10 344  11.00   5.15
12 10 344  12.00    5.1
12 10 344  13.00   4.05
12 10 344  14.00    3.4
12 10 344  15.00    2.9
12 10 344  16.00    2.6
12 10 344  17.00    3.0
12 10 344  18.00   3.35
12 10 344  19.00   3.75
12 10 344  20.00   3.75
12 10 344  21.00   3.15
