Mo da yda  time  FoF2
12 12 346  22.00    3.5
12 12 346  23.00   3.75
12 12 346   0.00    3.7
12 12 346   1.00    3.0
12 12 346   2.00    2.4
12 12 346   3.00    2.2
12 12 346   4.00    2.2
12 12 346   5.00   2.15
12 12 346   6.00    4.2
12 12 346   7.00    5.8
12 12 346   8.00    4.0
12 12 346   9.00   4.85
12 12 346  10.00    5.6
12 12 346  11.00   5.05
12 12 346  12.00    4.2
12 12 346  13.00    4.0
12 12 346  14.00    3.1
12 12 346  15.00   2.75
12 12 346  16.00   2.55
12 12 346  17.00    2.7
12 12 346  18.00   3.05
12 12 346  19.00    3.8
12 12 346  20.00    3.6
12 12 346  21.00    4.0
