Mo da yda  time  FoF2
12  5 339  22.00   3.25
12  5 339  23.00    3.4
12  5 339   0.00   3.15
12  5 339   1.00    3.0
12  5 339   2.00    2.5
12  5 339   3.00    2.2
12  5 339   5.00   2.25
12  5 339   6.00    4.5
12  5 339   7.00    5.0
12  5 339   8.00    4.9
12  5 339   9.00   4.55
12  5 339  10.00    5.1
12  5 339  11.00    4.8
12  5 339  12.00    4.2
12  5 339  13.00    3.8
12  5 339  14.00    3.0
12  5 339  18.00    2.5
12  5 339  19.00    3.0
12  5 339  20.00   2.95
12  5 339  21.00    3.3
