Mo da yda  time  FoF2
12 19 353  22.00   2.35
12 19 353  23.00    2.6
12 19 353   0.00   2.15
12 19 353   1.00    2.4
12 19 353   2.00    1.8
12 19 353   3.00    1.7
12 19 353   4.00    1.6
12 19 353   5.00    2.1
12 19 353   6.00    4.0
12 19 353   7.00    5.4
12 19 353   8.00   5.25
12 19 353   9.00   5.05
12 19 353  10.00    5.5
12 19 353  11.00   5.05
12 19 353  12.00    5.0
12 19 353  13.00    4.1
12 19 353  14.00    2.8
12 19 353  15.00    2.3
12 19 353  16.00    1.9
12 19 353  17.00    2.1
12 19 353  18.00   1.85
12 19 353  19.00    2.3
12 19 353  20.00   2.75
12 19 353  21.00    3.0
