Mo da yda  time  FoF2
12 22 356  22.00    2.6
12 22 356  23.00    2.8
12 22 356   0.00    2.9
12 22 356   1.00   2.55
12 22 356   2.00   1.95
12 22 356   3.00    1.8
12 22 356   4.00    2.0
12 22 356   5.00    2.0
12 22 356   6.00    4.3
12 22 356   7.00    5.0
12 22 356   8.00    4.9
12 22 356   9.00   4.35
12 22 356  10.00    5.2
12 22 356  11.00    5.3
12 22 356  12.00    5.1
12 22 356  13.00   3.75
12 22 356  14.00    3.2
12 22 356  15.00    2.5
12 22 356  16.00    2.3
12 22 356  17.00    2.4
12 22 356  18.00   2.95
12 22 356  19.00   3.15
12 22 356  20.00    3.3
12 22 356  21.00    3.5
