Mo da yda  time  FoF2
12 26 360  22.00   2.25
12 26 360  23.00    2.5
12 26 360   0.00   2.75
12 26 360   1.00    2.5
12 26 360   2.00    1.9
12 26 360   3.00   1.75
12 26 360   4.00    1.8
12 26 360   5.00    2.0
12 26 360   6.00    4.0
12 26 360   7.00    5.6
12 26 360   8.00    5.0
12 26 360   9.00    5.1
12 26 360  10.00    6.3
12 26 360  11.00    5.4
12 26 360  12.00   4.75
12 26 360  13.00   3.75
12 26 360  14.00   3.75
12 26 360  15.00   2.15
12 26 360  16.00    2.2
12 26 360  17.00   2.05
12 26 360  18.00   2.25
12 26 360  19.00    2.5
12 26 360  20.00   2.75
12 26 360  21.00    2.6
