Mo da yda  time  FoF2
 3 26  85  22.00   4.15
 3 26  85  23.00    4.0
 3 26  85   0.00    3.7
 3 26  85   1.00    3.5
 3 26  85   2.00   3.45
 3 26  85   3.00    4.4
 3 26  85   4.00   4.85
 3 26  85   5.00   5.05
 3 26  85   6.00    5.7
 3 26  85   7.00   5.85
 3 26  85   8.00    6.1
 3 26  85   9.00   6.35
 3 26  85  10.00   6.15
 3 26  85  11.00    5.9
 3 26  85  12.00   5.85
 3 26  85  13.00   6.75
 3 26  85  14.00   6.55
 3 26  85  15.00    5.6
 3 26  85  16.00    5.9
 3 26  85  17.00   5.35
 3 26  85  18.00   4.05
 3 26  85  19.00    3.0
 3 26  85  20.00   3.05
 3 26  85  21.00    2.9
