Mo da yda  time  FoF2
 3 22  81  22.00    3.3
 3 22  81  23.00    3.5
 3 22  81   0.00   3.35
 3 22  81   1.00    3.6
 3 22  81   2.00    3.5
 3 22  81   3.00   3.35
 3 22  81   4.00    4.4
 3 22  81   5.00   5.25
 3 22  81   6.00    6.0
 3 22  81   7.00    6.5
 3 22  81   8.00    6.9
 3 22  81   9.00    6.2
 3 22  81  10.00    6.5
 3 22  81  11.00    6.4
 3 22  81  12.00   6.25
 3 22  81  13.00    6.3
 3 22  81  14.00    6.0
 3 22  81  15.00    6.0
 3 22  81  16.00    6.0
 3 22  81  17.00   5.15
 3 22  81  18.00   4.45
 3 22  81  19.00    3.7
 3 22  81  20.00   3.45
 3 22  81  21.00    3.3
