Mo da yda  time  FoF2
 1 19  19  22.00    3.0
 1 19  19  23.00   3.25
 1 19  19   0.00    3.3
 1 19  19   1.00   3.05
 1 19  19   2.00   2.55
 1 19  19   3.00   2.05
 1 19  19   4.00    2.0
 1 19  19   5.00    2.5
 1 19  19   6.00    4.0
 1 19  19   7.00    5.0
 1 19  19   8.00   4.75
 1 19  19   9.00    5.3
 1 19  19  10.00    5.3
 1 19  19  14.00    4.0
 1 19  19  15.00    3.1
 1 19  19  16.00    2.3
 1 19  19  17.00    2.2
 1 19  19  18.00    2.5
 1 19  19  19.00    2.7
 1 19  19  20.00    3.0
 1 19  19  21.00    2.9
