Mo da yda  time  FoF2
 2 21  52  22.00    2.8
 2 21  52  23.00    3.0
 2 21  52   0.00   2.75
 2 21  52   1.00    3.2
 2 21  52   2.00    2.9
 2 21  52   4.00   2.05
 2 21  52   5.00    4.5
 2 21  52   6.00    6.0
 2 21  52   7.00   6.05
 2 21  52   8.00    6.3
 2 21  52   9.00   5.65
 2 21  52  10.00    6.5
 2 21  52  11.00    6.1
 2 21  52  12.00    6.0
 2 21  52  13.00    5.9
 2 21  52  14.00    5.5
 2 21  52  15.00   5.85
 2 21  52  16.00    3.9
 2 21  52  17.00    4.1
 2 21  52  18.00   3.55
 2 21  52  19.00    2.9
 2 21  52  20.00    3.0
 2 21  52  21.00   3.05
