Mo da yda  time  FoF2
 1 22  22  22.00    2.7
 1 22  22  23.00    2.8
 1 22  22   0.00   3.05
 1 22  22   1.00    2.8
 1 22  22   2.00    2.5
 1 22  22   4.00    2.1
 1 22  22   5.00   2.25
 1 22  22   6.00    3.9
 1 22  22   7.00    4.7
 1 22  22   8.00    5.4
 1 22  22   9.00    5.0
 1 22  22  10.00    5.1
 1 22  22  11.00   4.75
 1 22  22  12.00    5.6
 1 22  22  13.00    5.0
 1 22  22  14.00    4.1
 1 22  22  15.00    2.7
 1 22  22  16.00    2.6
 1 22  22  17.00    2.4
 1 22  22  18.00    2.3
 1 22  22  19.00    2.4
 1 22  22  20.00    2.8
 1 22  22  21.00    2.5
