Mo da yda  time  FoF2
12  6 340  22.00    3.4
12  6 340  23.00    3.2
12  6 340   0.00   3.15
12  6 340   1.00   3.25
12  6 340   2.00    3.0
12  6 340   3.00    2.9
12  6 340   4.00    2.5
12  6 340   5.00    2.7
12  6 340   6.00    4.2
12  6 340   7.00    6.2
12  6 340   8.00    5.2
12  6 340   9.00    5.2
12  6 340  10.00    5.6
12  6 340  11.00    5.3
12  6 340  12.00    4.3
12  6 340  13.00    4.5
12  6 340  14.00    3.2
12  6 340  16.00   2.55
12  6 340  17.00    2.8
12  6 340  18.00    3.0
12  6 340  19.00    3.3
12  6 340  20.00    3.5
12  6 340  21.00   3.55
