Mo da yda  time  FoF2
12 24 358  22.00    3.4
12 24 358  23.00    3.7
12 24 358   0.00   3.55
12 24 358   1.00    3.3
12 24 358   2.00    3.0
12 24 358   3.00   2.65
12 24 358   4.00    2.8
12 24 358   5.00   2.05
12 24 358   6.00    3.9
12 24 358   7.00    4.7
12 24 358   8.00    5.5
12 24 358   9.00   4.55
12 24 358  10.00    5.7
12 24 358  11.00    6.0
12 24 358  12.00    4.7
12 24 358  13.00   4.25
12 24 358  14.00    3.0
12 24 358  18.00    2.1
12 24 358  19.00    2.3
12 24 358  20.00    2.5
12 24 358  21.00    2.5
