Mo da yda  time  FoF2
 1 13  13  22.00    3.2
 1 13  13  23.00    3.1
 1 13  13   0.00   3.05
 1 13  13   1.00    2.8
 1 13  13   2.00    2.5
 1 13  13   3.00    2.4
 1 13  13   4.00   2.65
 1 13  13   5.00    2.7
 1 13  13   6.00    3.9
 1 13  13   7.00    4.7
 1 13  13   8.00    6.5
 1 13  13   9.00   5.48
 1 13  13  10.00    5.3
 1 13  13  11.00    5.4
 1 13  13  12.00    5.2
 1 13  13  13.00    4.9
 1 13  13  14.00    4.9
 1 13  13  15.00    3.3
 1 13  13  16.00    2.7
 1 13  13  18.00    2.7
