Mo da yda  time  FoF2
 2 11  42  22.00    3.8
 2 11  42  23.00    3.7
 2 11  42   0.00   3.75
 2 11  42   1.00    3.7
 2 11  42   2.00    3.2
 2 11  42   3.00    2.9
 2 11  42   4.00    2.7
 2 11  42   5.00    4.0
 2 11  42   6.00   5.55
 2 11  42   7.00    6.4
 2 11  42   8.00    6.7
 2 11  42   9.00    7.1
 2 11  42  10.00    6.7
 2 11  42  11.00    6.9
 2 11  42  12.00    6.0
 2 11  42  13.00    6.1
 2 11  42  14.00   5.75
 2 11  42  15.00   4.85
 2 11  42  16.00   4.65
 2 11  42  17.00   3.75
 2 11  42  18.00   2.65
 2 11  42  19.00    2.4
 2 11  42  20.00    2.6
 2 11  42  21.00    2.7
