Mo da yda  time  FoF2
 1 21  21  22.00    2.6
 1 21  21  23.00    2.2
 1 21  21   0.00   2.15
 1 21  21   1.00    2.0
 1 21  21   5.00    2.1
 1 21  21   6.00   3.55
 1 21  21   7.00    4.8
 1 21  21   8.00    4.9
 1 21  21   9.00    5.2
 1 21  21  10.00    5.0
 1 21  21  11.00   5.05
 1 21  21  12.00    5.0
 1 21  21  13.00    4.9
 1 21  21  14.00    4.1
 1 21  21  15.00    3.2
 1 21  21  16.00    2.5
 1 21  21  17.00    2.3
 1 21  21  18.00    2.5
 1 21  21  19.00    2.6
 1 21  21  20.00    3.0
 1 21  21  21.00    2.8
