Mo da yda  time  FoF2
12 16 350  22.00    3.2
12 16 350  23.00    3.5
12 16 350   0.00    3.4
12 16 350   1.00    3.1
12 16 350   2.00    2.5
12 16 350   3.00    1.9
12 16 350   4.00   1.95
12 16 350   5.00    2.3
12 16 350   6.00    4.5
12 16 350   7.00    5.0
12 16 350   8.00    5.1
12 16 350   9.00    6.0
12 16 350  10.00    5.9
12 16 350  11.00    4.7
12 16 350  12.00   4.25
12 16 350  13.00   4.35
12 16 350  14.00   3.55
12 16 350  15.00    2.4
12 16 350  16.00   2.55
12 16 350  17.00    3.0
12 16 350  18.00    3.2
12 16 350  19.00    3.6
12 16 350  20.00   3.75
12 16 350  21.00   3.75
