Mo da yda  time  FoF2
 3 17  76  22.00    2.9
 3 17  76  23.00   2.95
 3 17  76   0.00    3.0
 3 17  76   1.00   2.95
 3 17  76   2.00    3.0
 3 17  76   3.00   2.75
 3 17  76   4.00    4.4
 3 17  76   5.00   5.25
 3 17  76   6.00    6.3
 3 17  76   7.00    7.3
 3 17  76   8.00    7.3
 3 17  76   9.00    7.1
 3 17  76  10.00   7.85
 3 17  76  11.00    6.9
 3 17  76  12.00    7.1
 3 17  76  13.00    6.3
 3 17  76  14.00    6.5
 3 17  76  15.00    6.8
 3 17  76  16.00    6.3
 3 17  76  17.00    5.8
 3 17  76  18.00   4.65
 3 17  76  19.00    4.7
 3 17  76  20.00    3.5
 3 17  76  21.00    3.0
