Mo da yda  time  FoF2
12 17 351  22.00    3.9
12 17 351  23.00   3.75
12 17 351   0.00    3.3
12 17 351   1.00   3.15
12 17 351   2.00    3.0
12 17 351   3.00    2.8
12 17 351   4.00    2.5
12 17 351   5.00   2.25
12 17 351   6.00    4.2
12 17 351   7.00    5.3
12 17 351   8.00   4.75
12 17 351   9.00   5.25
12 17 351  10.00    5.6
12 17 351  11.00   5.25
12 17 351  12.00   5.15
12 17 351  13.00    4.1
12 17 351  14.00    3.1
12 17 351  15.00    2.5
12 17 351  16.00    2.4
12 17 351  17.00   2.45
12 17 351  18.00    2.6
12 17 351  19.00   2.55
12 17 351  20.00   2.75
12 17 351  21.00    3.3
