Mo da yda  time  FoF2
12 30 364  22.00   3.05
12 30 364  23.00    3.3
12 30 364   0.00    3.4
12 30 364   1.00   3.05
12 30 364   2.00    2.8
12 30 364   3.00   2.75
12 30 364   4.00    3.0
12 30 364   5.00    2.8
12 30 364   6.00    3.7
12 30 364   7.00    5.8
12 30 364   8.00    4.8
12 30 364   9.00    5.6
12 30 364  10.00    5.1
12 30 364  11.00    5.0
12 30 364  12.00    4.5
12 30 364  13.00   4.05
12 30 364  14.00    3.5
12 30 364  15.00    2.7
12 30 364  16.00    2.6
12 30 364  17.00    2.5
12 30 364  18.00   2.55
12 30 364  19.00   2.85
12 30 364  20.00    3.3
12 30 364  21.00    2.8
