Mo da yda  time  FoF2
 3 30  89  22.00    3.9
 3 30  89  23.00   3.75
 3 30  89   0.00   3.75
 3 30  89   1.00    3.7
 3 30  89   2.00   3.85
 3 30  89   3.00    3.6
 3 30  89   4.00   4.15
 3 30  89   5.00    4.1
 3 30  89   6.00    4.6
 3 30  89   7.00    5.0
 3 30  89   8.00    5.1
 3 30  89   9.00    5.7
 3 30  89  10.00    5.8
 3 30  89  11.00    6.0
 3 30  89  12.00    6.2
 3 30  89  13.00   5.85
 3 30  89  14.00    5.8
 3 30  89  15.00    5.5
 3 30  89  16.00    5.1
 3 30  89  17.00    5.0
 3 30  89  18.00    5.1
