Mo da yda  time  FoF2
 2 25  56  22.00    3.2
 2 25  56  23.00   3.15
 2 25  56   0.00    3.4
 2 25  56   1.00    3.2
 2 25  56   2.00    3.2
 2 25  56   3.00    2.7
 2 25  56   4.00    2.5
 2 25  56   5.00    4.3
 2 25  56   6.00   5.45
 2 25  56   7.00   6.05
 2 25  56   8.00    6.5
 2 25  56   9.00    6.0
 2 25  56  10.00    6.4
 2 25  56  11.00    6.0
 2 25  56  12.00    6.3
 2 25  56  13.00    6.0
 2 25  56  14.00   5.45
 2 25  56  15.00    5.0
 2 25  56  16.00    4.4
 2 25  56  17.00   4.05
 2 25  56  18.00    3.5
 2 25  56  19.00    2.8
 2 25  56  20.00    2.9
 2 25  56  21.00    3.4
