Mo da yda  time  FoF2
12 29 363  22.00    3.8
12 29 363  23.00    4.0
12 29 363   0.00    3.7
12 29 363   1.00    3.6
12 29 363   2.00   3.15
12 29 363   3.00    3.3
12 29 363   4.00    3.4
12 29 363   5.00   3.15
12 29 363   6.00    4.6
12 29 363   7.00    5.7
12 29 363  10.00    5.0
12 29 363  11.00    4.4
12 29 363  12.00    4.8
12 29 363  13.00    3.7
12 29 363  14.00    3.5
12 29 363  15.00   2.65
12 29 363  16.00    2.3
12 29 363  17.00    2.5
12 29 363  18.00   2.75
12 29 363  19.00    3.0
12 29 363  20.00    3.5
12 29 363  21.00   3.25
