Mo da yda  time  FoF2
 1 24  24  22.00    3.0
 1 24  24  23.00   3.05
 1 24  24   0.00    3.1
 1 24  24   1.00   3.25
 1 24  24   2.00    3.0
 1 24  24   3.00    3.0
 1 24  24   4.00   2.65
 1 24  24   5.00   2.55
 1 24  24   6.00    4.1
 1 24  24   7.00    5.1
 1 24  24   8.00    5.5
 1 24  24   9.00   5.45
 1 24  24  10.00    6.0
 1 24  24  11.00   5.55
 1 24  24  12.00    5.0
 1 24  24  13.00    4.7
 1 24  24  14.00    4.0
 1 24  24  15.00   2.95
 1 24  24  16.00    2.2
 1 24  24  17.00   2.25
 1 24  24  18.00   2.45
 1 24  24  19.00    2.8
 1 24  24  20.00    3.0
 1 24  24  21.00    3.0
