Mo da yda  time  FoF2
12  4 338  22.00    2.8
12  4 338  23.00   2.75
12  4 338   0.00    2.8
12  4 338   1.00    2.5
12  4 338   4.00    1.8
12  4 338   5.00    2.3
12  4 338   6.00    4.0
12  4 338   7.00   5.25
12  4 338   8.00   4.65
12  4 338   9.00    4.5
12  4 338  10.00    5.0
12  4 338  11.00   4.45
12  4 338  12.00    4.3
12  4 338  13.00    3.2
12  4 338  14.00   3.05
12  4 338  15.00   2.35
12  4 338  17.00   2.35
12  4 338  18.00   2.55
12  4 338  19.00    3.0
12  4 338  20.00   3.25
12  4 338  21.00    3.2
