Mo da yda  time  FoF2
 3 21  80  22.00   3.25
 3 21  80  23.00    3.3
 3 21  80   0.00   3.25
 3 21  80   1.00    3.1
 3 21  80   2.00   3.15
 3 21  80   3.00    3.0
 3 21  80   4.00   4.25
 3 21  80   5.00    5.1
 3 21  80   6.00   5.75
 3 21  80   7.00   6.05
 3 21  80   8.00    6.5
 3 21  80   9.00   6.75
 3 21  80  10.00   6.05
 3 21  80  11.00    6.2
 3 21  80  12.00   5.95
 3 21  80  13.00    6.5
 3 21  80  14.00    6.0
 3 21  80  15.00    6.2
 3 21  80  16.00   6.15
 3 21  80  17.00   5.65
 3 21  80  18.00    5.5
 3 21  80  19.00    4.3
 3 21  80  20.00    3.4
 3 21  80  21.00   3.35
