Mo da yda  time  FoF2
 2 26  57  22.00    3.5
 2 26  57  23.00   3.25
 2 26  57   0.00   3.15
 2 26  57   1.00    3.2
 2 26  57   2.00    3.1
 2 26  57   3.00    2.3
 2 26  57   4.00    2.6
 2 26  57   5.00    4.6
 2 26  57   6.00    5.6
 2 26  57   7.00    6.9
 2 26  57   8.00    7.4
 2 26  57   9.00    7.1
 2 26  57  10.00    7.2
 2 26  57  11.00   6.75
 2 26  57  12.00   6.25
 2 26  57  13.00    6.0
 2 26  57  14.00    5.8
 2 26  57  15.00    5.3
 2 26  57  16.00    4.4
 2 26  57  17.00    4.6
 2 26  57  18.00    4.4
 2 26  57  19.00    3.7
 2 26  57  20.00    3.3
 2 26  57  21.00    3.1
